Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Market Cap
539594,Mishtann Foods Limited,MISHTANN,Mishtann Foods Ltd,Active,B,1,INE094S01041,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,15000373042
524280,Kopran Ltd.,KOPRAN,KOPRAN LTD.,Active,B,10,INE082A01010,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,15437728000
539221,Sportking India Ltd.,SPORTKING,Sportking India Ltd,Active,B,1,INE885H01029,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,14524318557
534748,Steel Exchange India Ltd.,STEELXIND,STEEL EXCHANGE INDIA LTD.,Active,B,1,INE503B01021,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,14434798663
541741,Fratelli Vineyards Limited,FRATELLI,Fratelli Vineyards Ltd,Active,XT,10,INE401Z01019,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,14798871594
505400,Texmaco Infrastructure & Holdings Ltd,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,Active,B,1,INE435C01024,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,14636219353
531859,ORIENTAL RAIL INFRASTRUCTURE LIMITED,ORIRAIL,Oriental Rail Infrastructure Ltd,Active,B,1,INE457G01029,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,14854640112
543240,Likhitha Infrastructure Limited,LIKHITHA,Likhitha Infrastructure Ltd,Active,B,5,INE060901027,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,14653699267
532741,Kamdhenu Limited,KAMDHENU,Kamdhenu Ltd,Active,B,10,INE390H01012,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,14287992501
506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,Active,B,10,INE277B01014,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,14419100000
533336,Dhunseri Investments Ltd,DHUNINV,DHUNSERI INVESTMENTS LTD.,Active,B,10,INE320L01011,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,14419830700
590062,The Andhra Sugars Ltd.,ANDHRSUGAR,ANDHRA SUGARS LTD.,Active,B,2,INE715B01021,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,14082128266
532348,Subex  Ltd,SUBEXLTD,SUBEX LTD.,Active,A,5,INE754A01055,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,14243600912
519602,Kellton Tech Solutions Ltd.,KELLTONTEC,Kellton Tech Solutions Ltd.,Active,B,5,INE164B01022,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,14880440000
544131,GPT Healthcare Limited,GPTHEALTH,GPT Healthcare Ltd,Active,B,10,INE486R01017,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital,14269213537
543590,Rhetan TMT Limited,RHETAN,Rhetan TMT Ltd,Active,B,1,INE0KKN01029,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,14726247787
539660,BEST AGROLIFE LIMITED,BESTAGRO,Best Agrolife Ltd,Active,B,10,INE052T01013,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,14896179900
